session,name,type,item,question_id,answer
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,pre,IMI,1,1,3
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,pre,IMI,2,2,2
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,pre,IMI,3,3,2
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,pre,IMI,4,4,2
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,pre,IMI,5,5,3
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,pre,IMI,6,6,2
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,pre,IMI,7,7,2
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,pre,IMI,8,8,2
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,pre,IMI,9,9,2
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,pre,IMI,10,10,4
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,pre,IMI,11,11,2
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,pre,IMI,12,12,2
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,pre,IMI,13,13,2
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,pre,IMI,14,14,3
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,pre,IMI,15,15,3
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,pre,IMI,16,16,2
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,pre,IMI,17,17,2
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,pre,IMI,18,18,2
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,pre,IMI,19,19,3
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,pre,IMI,20,20,2
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,pre,IMI,21,21,2
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,pre,IMI,22,22,2
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,pre,PANAS,1,29,2
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,pre,PANAS,2,30,2
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,pre,PANAS,3,31,2
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,pre,PANAS,4,32,3
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,pre,PANAS,5,33,2
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,pre,PANAS,6,34,2
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,pre,PANAS,7,35,2
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,pre,PANAS,8,36,2
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,pre,PANAS,9,37,3
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,pre,PANAS,10,38,2
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,pre,PANAS,11,39,2
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,pre,PANAS,12,40,2
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,pre,PANAS,13,41,3
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,pre,PANAS,14,42,2
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,pre,PANAS,15,43,2
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,pre,PANAS,16,44,2
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,pre,PANAS,17,45,2
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,pre,PANAS,18,46,3
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,pre,PANAS,19,47,2
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,pre,PANAS,20,48,2
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,main,IMI,1,1,2
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,main,IMI,2,2,2
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,main,IMI,3,3,2
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,main,IMI,4,4,2
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,main,IMI,5,5,2
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,main,IMI,6,6,3
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,main,IMI,7,7,2
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,main,IMI,8,8,2
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,main,IMI,9,9,2
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,main,IMI,10,10,2
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,main,IMI,11,11,3
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,main,IMI,12,12,2
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,main,IMI,13,13,2
