session,type,item,task_id,answer
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,p1,1,12,B
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,p1,2,7,U
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,p1,3,5,None of these
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,p1,4,16,C
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,p2,1,1,7
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,p2,2,3,39
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,p2,3,10,B
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,p2,4,14,C
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,m1,1,11,C
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,m1,2,13,C
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,m1,3,2,Richard is shorter than Matt
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,m1,4,8,I
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,m2,1,15,B
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,m2,2,9,None of these
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,m2,3,6,G
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,m2,4,4,Wednesday
