session,page_nr,start_time
7q27lr7y7dhqlvkyq7o6swe14s0jzhjo,1,1651494514.587939
7q27lr7y7dhqlvkyq7o6swe14s0jzhjo,2,1651494528.209225
7q27lr7y7dhqlvkyq7o6swe14s0jzhjo,3,1651494529.1253781
7q27lr7y7dhqlvkyq7o6swe14s0jzhjo,4,1651494533.47982
7q27lr7y7dhqlvkyq7o6swe14s0jzhjo,5,1651494538.3808799
7q27lr7y7dhqlvkyq7o6swe14s0jzhjo,6,1651494539.847589
7q27lr7y7dhqlvkyq7o6swe14s0jzhjo,7,1651494547.1902301
7q27lr7y7dhqlvkyq7o6swe14s0jzhjo,8,1651494553.34082
7q27lr7y7dhqlvkyq7o6swe14s0jzhjo,9,1651494554.5158122
7q27lr7y7dhqlvkyq7o6swe14s0jzhjo,10,1651494559.390037
7q27lr7y7dhqlvkyq7o6swe14s0jzhjo,11,1651494564.889647
7q27lr7y7dhqlvkyq7o6swe14s0jzhjo,12,1651494565.889455
7q27lr7y7dhqlvkyq7o6swe14s0jzhjo,13,1651494572.494347
7q27lr7y7dhqlvkyq7o6swe14s0jzhjo,14,1651494584.03651
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,1,1651515325.2417989
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,2,1651515328.2096891
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,3,1651515329.0723321
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,4,1651515351.913698
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,5,1651515356.827649
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,6,1651515357.7795541
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,7,1651515364.522976
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,8,1651515370.91803
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,9,1651515372.810391
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,10,1651515378.6774132
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,11,1651515383.491454
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,12,1651515384.3785658
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,13,1651515391.123245
ozm17a2m3muh8zm8pa3c3p72jxu8lj56,14,1651515397.808427
